textOriginal,comment_url,authorDisplayName,title,videoId,video_name,description,publishedAt,likeCount,id,parentId,pubs,channelId,match_term,viewCount,vidLikeCount,likeToViewRatio
"JD Vance in 2021:  The United States is being run by a bunch of childless cat ladies who are miserable at their own lives and the choices that they’ve made and so they want to make the rest of the country miserable, too.",https://www.youtube.com/watch?v=D7eNeon9vKU&lc=UgyXfEeolr2z0A2Id1Z4AaABAg,@kaipo8085,CNN,D7eNeon9vKU,Hear what VP Harris says she told Israel's Netanyahu,"Vice President and presumptive Democratic presidential nominee Kamala Harris talks about her meeting with Israeli Prime Minister Benjamin Netanyahu where she said she would ensure that Israel would be able to defend itself and urged an end to the war in Gaza.  #CNN #news 

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-26T01:04:23Z,0,UgyXfEeolr2z0A2Id1Z4AaABAg,NA,2024-07-25T23:18:40Z,UCupvZG-5ko_eiXAupbDfxWw,"c(""miserable"", ""miserable"")",135174,5653,4.182%
How about trying to imagine miserable life being better,https://www.youtube.com/watch?v=D7eNeon9vKU&lc=UgyCd7Jxv_nH457ipex4AaABAg.A6KqneRSFjxA6KwvnvRdDE,@4Miami,CNN,D7eNeon9vKU,Hear what VP Harris says she told Israel's Netanyahu,"Vice President and presumptive Democratic presidential nominee Kamala Harris talks about her meeting with Israeli Prime Minister Benjamin Netanyahu where she said she would ensure that Israel would be able to defend itself and urged an end to the war in Gaza.  #CNN #news 

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-26T00:43:56Z,0,UgyCd7Jxv_nH457ipex4AaABAg.A6KqneRSFjxA6KwvnvRdDE,UgyCd7Jxv_nH457ipex4AaABAg,2024-07-25T23:18:40Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,135174,5653,4.182%
"Trump: """"I'd love to be nice, but I'm dealing against real garbage."""" 
Yep, miserable childless cat ladies rhetoric of your partner is sure real garbage Sir... so...fire him.",https://www.youtube.com/watch?v=LeW61HdXa0s&lc=UgzRmdWBcil4V1QQ06B4AaABAg,@daisydy5741,CNN,LeW61HdXa0s,‘He’s flailing right now’: Scaramucci on Trump’s reaction to Harris’ rise,"Former Trump White House Communications Director Anthony Scaramucci discusses the former president’s response to Kamala Harris becoming the presumptive Democratic presidential nominee.   #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-26T01:20:08Z,0,UgzRmdWBcil4V1QQ06B4AaABAg,NA,2024-07-25T18:53:35Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,698101,10085,1.4446%
Agreed. Trump looked miserable whenever Vance spoke.,https://www.youtube.com/watch?v=LeW61HdXa0s&lc=UgwTmPdJH4h__4awXfR4AaABAg,@reddmv5445,CNN,LeW61HdXa0s,‘He’s flailing right now’: Scaramucci on Trump’s reaction to Harris’ rise,"Former Trump White House Communications Director Anthony Scaramucci discusses the former president’s response to Kamala Harris becoming the presumptive Democratic presidential nominee.   #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T22:35:43Z,0,UgwTmPdJH4h__4awXfR4AaABAg,NA,2024-07-25T18:53:35Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,698101,10085,1.4446%
It is unfortunate that he is the Republican presidential candidate for 2024.,https://www.youtube.com/watch?v=oWQQeEp7Wdw&lc=UgxVKe9EBOlsNyyChW94AaABAg,@Da0907-v4s,CNN,oWQQeEp7Wdw,Trump made at least 10 false claims about Kamala Harris in a single rally speech,"Former President Donald Trump made at least 10 false claims about Vice President Kamala Harris in his first campaign rally since she became the presumptive Democratic presidential nominee. Trump, speaking in North Carolina, attacked Harris at length with a flurry of assertions about her personal and political past, her record as vice president and her policy stances. CNN’s Daniel Dale reports. #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T20:24:33Z,0,UgxVKe9EBOlsNyyChW94AaABAg,NA,2024-07-25T17:46:07Z,UCupvZG-5ko_eiXAupbDfxWw,unfortunate,253480,2696,1.0635%
They are called lies not false claims he’s a habitual liar. He’s a miserable,https://www.youtube.com/watch?v=oWQQeEp7Wdw&lc=Ugzz_VvC6MNgn5dQuXp4AaABAg,@Mrsmissie,CNN,oWQQeEp7Wdw,Trump made at least 10 false claims about Kamala Harris in a single rally speech,"Former President Donald Trump made at least 10 false claims about Vice President Kamala Harris in his first campaign rally since she became the presumptive Democratic presidential nominee. Trump, speaking in North Carolina, attacked Harris at length with a flurry of assertions about her personal and political past, her record as vice president and her policy stances. CNN’s Daniel Dale reports. #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T20:11:47Z,0,Ugzz_VvC6MNgn5dQuXp4AaABAg,NA,2024-07-25T17:46:07Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,253480,2696,1.0635%
You must be a miserable person.,https://www.youtube.com/watch?v=oiVejt6IRtM&lc=UgwxpItEuBQG2vr34iZ4AaABAg.A6K8_6_rlL2A6K8q7CgwLo,@yaash4123,CNN,oiVejt6IRtM,Plane crashes into front yard,"A security camera caught the moment a plane crashed into a family's front yard in Roy, Utah. The pilot and his passenger were taken to the hospital, but no significant injuries were reported, according to local police.",2024-07-25T17:17:31Z,0,UgwxpItEuBQG2vr34iZ4AaABAg.A6K8_6_rlL2A6K8q7CgwLo,UgwxpItEuBQG2vr34iZ4AaABAg,2024-07-25T17:09:40Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,15604,491,3.1466%
Has he ever in his miserable life been nice? The only people he has something nice to say about the the most despicable dictators in the planet!,https://www.youtube.com/watch?v=OTFA_sP9eUk&lc=UgyUtReZRJJqmUN41ZV4AaABAg,@kyfho09,CNN,OTFA_sP9eUk,"Why Trump says he can't be 'nice' anymore when it comes to Harris, Democrats","In a recent interview with Fox News, former President Donald Trump doubles down on rhetoric against presumptive Democratic nominee Kamala Harris. CNN's Steve Contorno reports.  #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T20:43:16Z,0,UgyUtReZRJJqmUN41ZV4AaABAg,NA,2024-07-25T17:05:05Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,236581,2239,0.9463%
Kamala Harris hasn't done s*** for this country but laugh laugh for the last 3 years she ain't done f****** s*** man or Biden but make our lives more miserable wake up America come on man,https://www.youtube.com/watch?v=OTFA_sP9eUk&lc=UgxruQeO4QHbSYz2AAp4AaABAg,@user-ji8yp2dx6x,CNN,OTFA_sP9eUk,"Why Trump says he can't be 'nice' anymore when it comes to Harris, Democrats","In a recent interview with Fox News, former President Donald Trump doubles down on rhetoric against presumptive Democratic nominee Kamala Harris. CNN's Steve Contorno reports.  #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T20:00:10Z,0,UgxruQeO4QHbSYz2AAp4AaABAg,NA,2024-07-25T17:05:05Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,236581,2239,0.9463%
"""""Sticks and stones may break your bones"""", but words will never hurt you! Trump needs to stop calling names, get on his knees, and pray that God will have mercy on his miserable soul; when he goes to prison!",https://www.youtube.com/watch?v=OTFA_sP9eUk&lc=UgzLex0Aw5fYI3i_xsd4AaABAg,@lindadickens7677,CNN,OTFA_sP9eUk,"Why Trump says he can't be 'nice' anymore when it comes to Harris, Democrats","In a recent interview with Fox News, former President Donald Trump doubles down on rhetoric against presumptive Democratic nominee Kamala Harris. CNN's Steve Contorno reports.  #CNN #News

Want to stay up to date on the day’s top stories? Sign up for CNN’s 5 Things newsletter, and we’ll give you the 5 biggest stories you need to know, videos people are watching, and more! Sign up here: https://www.cnn.com/newsletters/5-things?source=nl-acq_social_youtubedesc&utm_source=nl-acq_social_youtubedesc",2024-07-25T19:57:49Z,0,UgzLex0Aw5fYI3i_xsd4AaABAg,NA,2024-07-25T17:05:05Z,UCupvZG-5ko_eiXAupbDfxWw,miserable,236581,2239,0.9463%
